                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.0442,                 6.8742,                0.41687,                0.86901,                 1.1312,                0.69256,                0.74973,                0.66294,                 0.3993,                0.08859,                0.07822,                0.01658,                 0.0023,                 1.3466,                 7.3989,                0.45111,                0.97398,                 1.2023,              0.0011031,              0.0011031,              0.0011031
                     43,                 1.0319,                  6.884,                0.41764,                0.87781,                 1.1294,                0.67488,                0.72272,                0.63272,                0.37446,                0.11147,                0.08896,                 0.0232,                0.00283,                 1.4346,                 7.3936,                0.44896,                 1.0418,                 1.2806,              0.0010894,              0.0010894,              0.0010894
                     44,                 1.0165,                 6.8613,                 0.4184,                0.85801,                 1.1161,                0.68243,                0.72239,                0.62835,                0.37879,                0.07053,                0.06902,                 0.0122,                0.00152,                 1.4002,                 7.4224,                0.45973,                 1.0247,                 1.2521,              0.0010756,              0.0010756,              0.0010756
                     45,                 1.0223,                 6.8638,                0.41759,                0.86403,                 1.1249,                0.69318,                 0.7362,                 0.6455,                0.39196,                0.09367,                0.08742,                0.02671,                0.00341,                 1.3545,                 7.3452,                0.44688,                 1.0152,                 1.2046,              0.0010619,              0.0010619,              0.0010619
                     46,                 1.0105,                  6.796,                0.41128,                0.84995,                 1.1135,                0.67907,                0.73019,                 0.6398,                0.38991,                0.07154,                0.07669,                0.01747,                0.00218,                 1.3917,                 7.4237,                  0.452,                  1.007,                 1.2362,              0.0010481,              0.0010481,              0.0010481
                     47,                 1.0005,                 6.8256,                0.41325,                 0.8395,                 1.1069,                0.69141,                0.73313,                0.63556,                 0.3894,                0.07601,                0.07975,                0.01395,                0.00187,                 1.3877,                 7.3419,                0.44799,                0.98497,                 1.2214,              0.0010344,              0.0010344,              0.0010344
                     48,                 1.0165,                 6.8093,                0.41414,                 0.8608,                 1.1144,                0.69558,                0.71626,                0.64115,                0.38917,                0.10367,                0.08436,                0.01896,                0.00236,                 1.3988,                 7.4058,                0.45615,                0.98994,                 1.2455,              0.0010206,              0.0010206,              0.0010206
                     49,                 1.0003,                 6.7866,                0.41415,                0.84353,                 1.1091,                0.68853,                0.73926,                0.64996,                0.38942,                0.09674,                0.07822,                0.01928,                0.00254,                 1.3724,                 7.2698,                0.45205,                0.98823,                 1.2222,              0.0010069,              0.0010069,              0.0010069
                     50,                0.99041,                 6.7425,                 0.4125,                0.84012,                 1.1082,                0.66829,                0.71012,                0.62946,                0.36988,                  0.068,                0.05675,                0.01586,                0.00196,                 1.4503,                  7.452,                0.45484,                 1.0589,                 1.2915,             0.00099312,             0.00099312,             0.00099312
                     51,                 1.0005,                 6.7771,                0.41466,                0.84218,                 1.1149,                0.67124,                0.72699,                0.63167,                0.38068,                0.09444,                0.09049,                0.02658,                0.00365,                 1.4335,                 7.3598,                0.45177,                 1.0294,                 1.2864,             0.00097936,             0.00097936,             0.00097936
                     52,                0.97314,                  6.693,                0.41293,                0.82109,                 1.0963,                0.70384,                0.74359,                0.65893,                0.40863,                0.10563,                0.09356,                  0.031,                0.00416,                 1.3383,                 7.2371,                0.44745,                0.96466,                 1.1943,             0.00096561,             0.00096561,             0.00096561
                     53,                0.97529,                  6.758,                0.41171,                0.84243,                 1.1043,                0.69257,                0.75153,                0.64975,                0.40707,                0.13124,                0.08589,                0.02712,                0.00336,                 1.3428,                 7.2991,                0.45033,                0.97391,                 1.2158,             0.00095186,             0.00095186,             0.00095186
                     54,                0.96678,                 6.6539,                0.40699,                0.82845,                 1.0943,                0.68169,                0.72699,                0.63509,                0.39183,                0.12122,                0.09816,                0.02513,                 0.0033,                 1.3736,                 7.2765,                 0.4455,                 1.0027,                 1.2307,              0.0009381,              0.0009381,              0.0009381
                     55,                0.96505,                 6.6528,                0.40881,                0.82194,                 1.0942,                0.69302,                 0.7454,                0.64432,                 0.4069,                0.11901,                 0.1181,                0.02749,                0.00384,                  1.367,                 7.2237,                0.44681,                0.98499,                 1.2214,             0.00092435,             0.00092435,             0.00092435
